data_source,category,topic,traffic,sub_topics,date
google_trends,,Dallas Mavericks,500K+,Mavs; Mavs; Mavericks; ,20240530
google_trends,,Nick Pasqual,100K+,,20240530
google_trends,,Dallas Stars,100K+,,20240530
google_trends,,Rangers,100K+,,20240530
google_trends,,Dollar Tree 99 Cents Only stores,50K+,,20240530
google_trends,,Chad Daybell,50K+,,20240530
google_trends,,Nelly Korda,50K+,,20240530
google_trends,,Clout,50K+,,20240530
google_trends,,Minneapolis shooting,20K+,,20240530
google_trends,,Breaking news,20K+,,20240530
google_trends,,Dell stock,20K+,,20240530
google_trends,,Stars,20K+,,20240530
